genomic_position,proportional_coverage,percent_gene_expression,method,sample,gene
171130211,0.0001418238547723,82.62657779038435,10x,sample_name,NPM1
171130212,0.0001418238547723,82.62657779038435,10x,sample_name,NPM1
171130213,0.0001418238547723,82.62657779038435,10x,sample_name,NPM1
171130214,0.0001418238547723,82.62657779038435,10x,sample_name,NPM1
171130215,0.0001418238547723,82.62657779038435,10x,sample_name,NPM1
171130216,0.0001418238547723,82.62657779038435,10x,sample_name,NPM1
171130217,0.0001418238547723,82.62657779038435,10x,sample_name,NPM1
171130218,0.0001418238547723,82.62657779038435,10x,sample_name,NPM1
171130219,0.0001418238547723,82.62657779038435,10x,sample_name,NPM1
171130220,0.0001418238547723,82.62657779038435,10x,sample_name,NPM1
171130221,0.0001418238547723,82.62657779038435,10x,sample_name,NPM1
171130222,0.0001418238547723,82.62657779038435,10x,sample_name,NPM1
171130223,0.0001418238547723,82.62657779038435,10x,sample_name,NPM1
171133643,0.0001418238547723,82.62657779038435,10x,sample_name,NPM1
171133644,0.0001418238547723,82.62657779038435,10x,sample_name,NPM1
171133645,0.0001418238547723,82.62657779038435,10x,sample_name,NPM1
171133646,0.0001418238547723,82.62657779038435,10x,sample_name,NPM1
171133647,0.0001418238547723,82.62657779038435,10x,sample_name,NPM1
171191466,0.0001418238547723,82.62657779038435,10x,sample_name,NPM1
171191467,0.0001418238547723,82.62657779038435,10x,sample_name,NPM1
171191468,0.0001418238547723,82.62657779038435,10x,sample_name,NPM1
171191469,0.0001418238547723,82.62657779038435,10x,sample_name,NPM1
171191470,0.0002836477095447,82.62657779038435,10x,sample_name,NPM1
171191471,0.0002836477095447,82.62657779038435,10x,sample_name,NPM1
171191472,0.0002836477095447,82.62657779038435,10x,sample_name,NPM1
171191473,0.0002836477095447,82.62657779038435,10x,sample_name,NPM1
171191474,0.0002836477095447,82.62657779038435,10x,sample_name,NPM1
171191475,0.0002836477095447,82.62657779038435,10x,sample_name,NPM1
171191476,0.0002836477095447,82.62657779038435,10x,sample_name,NPM1
171191477,0.0002836477095447,82.62657779038435,10x,sample_name,NPM1
171191478,0.0002836477095447,82.62657779038435,10x,sample_name,NPM1
171191479,0.0002836477095447,82.62657779038435,10x,sample_name,NPM1
171191480,0.0002836477095447,82.62657779038435,10x,sample_name,NPM1
171191481,0.0002836477095447,82.62657779038435,10x,sample_name,NPM1
171191482,0.0002836477095447,82.62657779038435,10x,sample_name,NPM1
171191483,0.0002836477095447,82.62657779038435,10x,sample_name,NPM1
171191484,0.0002836477095447,82.62657779038435,10x,sample_name,NPM1
171191485,0.0002836477095447,82.62657779038435,10x,sample_name,NPM1
171191486,0.0002836477095447,82.62657779038435,10x,sample_name,NPM1
171191487,0.0002836477095447,82.62657779038435,10x,sample_name,NPM1
171191488,0.0002836477095447,82.62657779038435,10x,sample_name,NPM1
171191489,0.0002836477095447,82.62657779038435,10x,sample_name,NPM1
171191490,0.0002836477095447,82.62657779038435,10x,sample_name,NPM1
171191491,0.0002836477095447,82.62657779038435,10x,sample_name,NPM1
171191492,0.0002836477095447,82.62657779038435,10x,sample_name,NPM1
171191493,0.0002836477095447,82.62657779038435,10x,sample_name,NPM1
171191494,0.0002836477095447,82.62657779038435,10x,sample_name,NPM1
171191495,0.0002836477095447,82.62657779038435,10x,sample_name,NPM1
171191496,0.0002836477095447,82.62657779038435,10x,sample_name,NPM1
171191497,0.0002836477095447,82.62657779038435,10x,sample_name,NPM1
171191498,0.0002836477095447,82.62657779038435,10x,sample_name,NPM1
171191499,0.0002836477095447,82.62657779038435,10x,sample_name,NPM1
171191500,0.0002836477095447,82.62657779038435,10x,sample_name,NPM1
171191501,0.0002836477095447,82.62657779038435,10x,sample_name,NPM1
171191502,0.0002836477095447,82.62657779038435,10x,sample_name,NPM1
171191503,0.0002836477095447,82.62657779038435,10x,sample_name,NPM1
171191504,0.0002836477095447,82.62657779038435,10x,sample_name,NPM1
171191505,0.0002836477095447,82.62657779038435,10x,sample_name,NPM1
171191506,0.0002836477095447,82.62657779038435,10x,sample_name,NPM1
171191507,0.0002836477095447,82.62657779038435,10x,sample_name,NPM1
171191508,0.0002836477095447,82.62657779038435,10x,sample_name,NPM1
171191509,0.0002836477095447,82.62657779038435,10x,sample_name,NPM1
171191510,0.0002836477095447,82.62657779038435,10x,sample_name,NPM1
171191511,0.0002836477095447,82.62657779038435,10x,sample_name,NPM1
171191512,0.0002836477095447,82.62657779038435,10x,sample_name,NPM1
171191513,0.0002836477095447,82.62657779038435,10x,sample_name,NPM1
171191514,0.0002836477095447,82.62657779038435,10x,sample_name,NPM1
171191515,0.0002836477095447,82.62657779038435,10x,sample_name,NPM1
171248155,0.0001418238547723,82.62657779038435,10x,sample_name,NPM1
171248156,0.0001418238547723,82.62657779038435,10x,sample_name,NPM1
171248157,0.0001418238547723,82.62657779038435,10x,sample_name,NPM1
171248158,0.0001418238547723,82.62657779038435,10x,sample_name,NPM1
171248159,0.0001418238547723,82.62657779038435,10x,sample_name,NPM1
171248160,0.0001418238547723,82.62657779038435,10x,sample_name,NPM1
171248161,0.0001418238547723,82.62657779038435,10x,sample_name,NPM1
171248162,0.0001418238547723,82.62657779038435,10x,sample_name,NPM1
171248163,0.0001418238547723,82.62657779038435,10x,sample_name,NPM1
171248164,0.0001418238547723,82.62657779038435,10x,sample_name,NPM1
171248165,0.0001418238547723,82.62657779038435,10x,sample_name,NPM1
171248166,0.0001418238547723,82.62657779038435,10x,sample_name,NPM1
171248167,0.0001418238547723,82.62657779038435,10x,sample_name,NPM1
171248168,0.0001418238547723,82.62657779038435,10x,sample_name,NPM1
171248169,0.0001418238547723,82.62657779038435,10x,sample_name,NPM1
171248170,0.0001418238547723,82.62657779038435,10x,sample_name,NPM1
171248171,0.0001418238547723,82.62657779038435,10x,sample_name,NPM1
171248172,0.0001418238547723,82.62657779038435,10x,sample_name,NPM1
171248173,0.0001418238547723,82.62657779038435,10x,sample_name,NPM1
171248174,0.0001418238547723,82.62657779038435,10x,sample_name,NPM1
